50
    1     8    15
    2    70    64
    3    69    74
    4    91    95
    5    46    48
    6    37    37
    7    35    29
    8    33    43
    9    56    61
   10    78    78
   11    49    55
   12    91    83
   13    20    16
   14    90    84
   15    35    28
   16    33    28
   17    21    25
   18    33    40
   19    92    89
   20    30    30
   21    62    53
   22    22    23
   23    86    76
   24    53    54
   25    33    40
   26     6    16
   27    59    58
   28    65    55
   29    44    53
   30    90    95
   31   101    93
   32    53    63
   33    68    67
   34    22    13
   35    55    48
   36    19    13
   37    32    24
   38    49    48
   39    93   100
   40    38    34
   41    18    23
   42    56    57
   43    14     6
   44    48    45
   45    31    35
   46    90    94
   47     6    13
   48    32    29
   49    85    95
   50    50    52
2080
