100
    1     8    15
    2    70    64
    3    69    74
    4    91    95
    5    46    48
    6    37    37
    7    35    29
    8    33    43
    9    56    61
   10    78    78
   11    49    55
   12    91    83
   13    20    16
   14    90    84
   15    35    28
   16    33    28
   17    21    25
   18    33    40
   19    92    89
   20    30    30
   21    62    53
   22    22    23
   23    86    76
   24    53    54
   25    33    40
   26     6    16
   27    59    58
   28    65    55
   29    44    53
   30    90    95
   31   101    93
   32    53    63
   33    68    67
   34    22    13
   35    55    48
   36    19    13
   37    32    24
   38    49    48
   39    93   100
   40    38    34
   41    18    23
   42    56    57
   43    14     6
   44    48    45
   45    31    35
   46    90    94
   47     6    13
   48    32    29
   49    85    95
   50    50    52
   51    12    10
   52   105    96
   53    51    57
   54    31    24
   55    84    88
   56    36    39
   57    20    13
   58    57    54
   59    56    52
   60    16     6
   61    20    16
   62    68    78
   63    80    75
   64    82    74
   65    70    75
   66    94    84
   67   103    96
   68    86    94
   69    17    16
   70    37    29
   71     8    17
   72    15    13
   73    57    54
   74    68    59
   75    49    55
   76    49    52
   77    84    82
   78    93    83
   79    40    40
   80    42    38
   81    35    33
   82    46    49
   83    27    34
   84   101    97
   85    94    93
   86    96    97
   87    61    51
   88    84    76
   89    41    46
   90    67    71
   91    46    44
   92    38    48
   93    70    60
   94    85    87
   95    77    72
   96    43    37
   97    51    45
   98    27    20
   99    51    60
  100    54    44
4358
